project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy
Indonesia Human Capital Development Policy Loan,East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2022.0,2023.0,ICRR,Satisfactory,,,Highly Satisfactory,,2025
Catalyzing Private Financing for Sustainable Recovery and Growth,South Asia,India,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2022.0,2023.0,ICRR,Satisfactory,,,Satisfactory,,2025
A Private-Sector Led and More Sustainable Economic Recovery DPF,Europe and Central Asia,Kazakhstan,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022.0,2024.0,ICRR,Satisfactory,,,Highly Satisfactory,,2025
URBN TRNSPRT I,Latin America and Caribbean,Mexico,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,1987.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
Accelerating Reforms for an Inclusive and Resilient Recovery DPF 2,Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022.0,2023.0,ICRR,Satisfactory,,,Highly Satisfactory,,2025
Support for Social Recovery Needs of Vulnerable Groups in Beirut,"Middle East, North Africa, Afghanistan, and Pakist",Lebanon,IBRD,FCS,IBRD FCS,Sustainable Development,Social Sustainability and Inclusion,RETF,IPF,2022.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Lebanon: Wheat supply emergency response project,"Middle East, North Africa, Afghanistan, and Pakist",Lebanon,IBRD,FCS,IBRD FCS,Sustainable Development,Agriculture and Food,IBRD,IPF,2022.0,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
"Mauritania 2nd Second Private Sector, Digital, and Human Capital Reform DPF",Western and Central Africa,Mauritania,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022.0,2023.0,ICRR,Moderately Satisfactory,,,Satisfactory,,2025
Niger Building Institutions and Human Capital DPO,Western and Central Africa,Niger,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022.0,2023.0,ICRR,Moderately Unsatisfactory,,,Moderately Satisfactory,,2025
"Supporting Transparency, Inclusiveness and the Green Economy","Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",SPF,DPF,2022.0,2024.0,ICRR,Moderately Unsatisfactory,,,Moderately Satisfactory,,2025
Second Programmatic Human Capital for Inclusive Growth DPF,Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,DPF,2022.0,2022.0,ICRR,Highly Satisfactory,,,Highly Satisfactory,,2025
Togo Second Fiscal Management and Infrastructure Reform DPF,Western and Central Africa,Togo,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022.0,2023.0,ICRR,Moderately Unsatisfactory,,,Satisfactory,,2025
Accelerating Uzbekistan's Transition Development Policy Operation,Europe and Central Asia,Uzbekistan,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022.0,2023.0,ICRR,Satisfactory,,,Satisfactory,,2025
Samoa Second Recovery and Resilience Development Policy Operation,East Asia and Pacific,Samoa,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022.0,2024.0,ICRR,Moderately Satisfactory,,,Satisfactory,,2025
Kosovo Public Finances and Sustainable Growth Development Policy Financing,Europe and Central Asia,Kosovo,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022.0,2024.0,ICRR,Moderately Satisfactory,,,Highly Satisfactory,,2025
South Africa Covid-19 Response Development Policy Operation,Eastern and Southern Africa,South Africa,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022.0,2023.0,ICRR,Satisfactory,,,Satisfactory,,2025
Zambia Emergency Health Service Delivery Project,Eastern and Southern Africa,Zambia,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2022.0,2024.0,ICRR,Highly Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Second Central America and Caribbean Catastrophe Risk Insurance Project,Latin America and Caribbean,Latin America and Caribbean,Other,,Other,Infrastructure,"Urban, Resilience and Land",RETF,IPF,2021.0,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Second Angola Growth and Inclusion Development Policy Financing Operation,Eastern and Southern Africa,Angola,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2021.0,2022.0,ICRR,Moderately Unsatisfactory,,,Moderately Unsatisfactory,,2025
Dominica First COVID-19 Response and Recovery Programmatic DPC,Latin America and Caribbean,Dominica,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021.0,2022.0,ICRR,Moderately Unsatisfactory,,,Moderately Satisfactory,,2025
Second Accelerating India's COVID-19 Social Protection Response (PMGKY),South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IDA,DPF,2021.0,2023.0,ICRR,Satisfactory,,,Highly Satisfactory,,2025
Creating a Coordinated and Responsive Indian Social Protection System (CCRISP),South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2021.0,2023.0,ICRR,Satisfactory,,,Satisfactory,,2025
Jamaica Catastrophe Bond for increased Financial Resilience to Natural Disasters and Climate Shocks,Latin America and Caribbean,Jamaica,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",RETF,IPF,2021.0,2024.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,High,2025
Accelerating Reforms for an Inclusive and Resilient Recovery DPF,Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021.0,2022.0,ICRR,Satisfactory,,,Highly Satisfactory,,2025
Liberia Learning Foundations Project,Western and Central Africa,Liberia,IDA,non-FCS,IDA non-FCS,Human Development,Education,RETF,IPF,2021.0,2024.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2025
Securing Human Investments to Foster Transformation II,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Blend non-FCS,Human Development,Education,IDA,DPF,2021.0,2022.0,ICRR,Moderately Satisfactory,,,Satisfactory,,2025
Investing in Human Capital DPF II,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,DPF,2021.0,2023.0,ICRR,Satisfactory,,,Satisfactory,,2025
First Programmatic Human Capital for Inclusive Growth DPF,Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,DPF,2021.0,2023.0,ICRR,Highly Satisfactory,,,Highly Satisfactory,,2025
Sudan Family Support Project,Eastern and Southern Africa,Sudan,IDA,FCS,IDA FCS,Human Development,Social Protection & Jobs,IDA,IPF,2021.0,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
South Sudan Enhancing Community Resilience and Local Governance Project,Eastern and Southern Africa,South Sudan,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2021.0,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
HIGHWAYS IV,South Asia,Pakistan,Blend,,Other,Other,Other,IBRD,IPF,1987.0,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2000
"Samoa First Response, Recovery and Resilience Development Policy Operation with a Catastrophe Deferred Drawdown Option",East Asia and Pacific,Samoa,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021.0,2024.0,ICRR,Moderately Satisfactory,,,Satisfactory,,2025
Angola Growth and Inclusion DPF,Eastern and Southern Africa,Angola,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2020.0,2021.0,ICRR,Moderately Unsatisfactory,,,Moderately Unsatisfactory,,2025
Benin Global Partnership for Education Project Phase 3,Western and Central Africa,Benin,IDA,non-FCS,IDA non-FCS,Human Development,Education,RETF,IPF,2020.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Bhutan Development Policy Financing with Cat DDO,South Asia,Bhutan,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,DPF,2020.0,2023.0,ICRR,Moderately Satisfactory,,,Satisfactory,,2025
CDI Sustainable and Inclusive Growth DPF1,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020.0,2023.0,ICRR,Moderately Unsatisfactory,,,Moderately Satisfactory,,2025
Second Ethiopia Growth and Competitiveness Programmatic Development Policy Financing,Eastern and Southern Africa,Ethiopia,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020.0,2021.0,ICRR,Moderately Unsatisfactory,,,Moderately Satisfactory,,2025
COVID-19 Supplemental Financing to the Second Ethiopia Growth and Competitiveness Programmatic Development Policy Financing,Eastern and Southern Africa,Ethiopia,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020.0,2021.0,ICRR,Moderately Unsatisfactory,,,Moderately Satisfactory,,2025
"Gambia First Fiscal Management, Energy and Telecom Reform Development Policy Financing",Western and Central Africa,"Gambia, The",IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020.0,2021.0,ICRR,Moderately Satisfactory,,,Moderately Satisfactory,,2025
GAMBIA FISCAL MANAGEMENT DEVELOPMENT PROJECT,Western and Central Africa,"Gambia, The",IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2020.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
Honduras DRM Development Policy Credit with a Catastrophe Deferred Drawdown Option (Cat DDO),Latin America and Caribbean,Honduras,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,DPF,2020.0,2023.0,ICRR,Moderately Satisfactory,,,Moderately Satisfactory,,2025
Accelerating India's COVID-19 Social Protection Response Program (PMGKY),South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2020.0,2022.0,ICRR,Satisfactory,,,Highly Satisfactory,,2025
Health and Nutrition Services Access Project,East Asia and Pacific,Lao People's Democratic Republic,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2020.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Morocco Disaster Risk Management Development Policy Loan with a Catastrophe Deferred Drawdown Option,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,DPF,2020.0,2023.0,ICRR,Moderately Satisfactory,,,Moderately Satisfactory,,2025
Madagascar Disaster Risk Management Development Policy Financing with a Catastrophe Deferred Drawdown Option (Cat DDO),Eastern and Southern Africa,Madagascar,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,DPF,2020.0,2024.0,ICRR,Satisfactory,,,Satisfactory,,2025
COVID-19 Emergency Income Support Project,South Asia,Maldives,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,IPF,2020.0,2024.0,ICRR,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Substantial,2025
Mauritania First Competition and Skills DPO,Western and Central Africa,Mauritania,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020.0,2021.0,ICRR,Moderately Satisfactory,,,Satisfactory,,2025
Securing Human Investments to Foster Transformation (SHIFT) DPC Series,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Blend non-FCS,Human Development,Education,IDA,DPF,2020.0,2021.0,ICRR,Moderately Satisfactory,,,Satisfactory,,2025
Pakistan Community Support Project (CASA-1000),"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Blend non-FCS,Sustainable Development,Social Sustainability and Inclusion,RETF,IPF,2020.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025
Investing in Human Capital,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,DPF,2020.0,2021.0,ICRR,Satisfactory,,,Satisfactory,,2025
Lima Metropolitano BRT North Extension,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2020.0,2024.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2025
Togo First Fiscal Management and Energy Reform DPF,Western and Central Africa,Togo,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020.0,2021.0,ICRR,Moderately Unsatisfactory,,,Satisfactory,,2025
Second Fiscal Reform and Resilience Development Policy Credit with a Cat DDO,Latin America and Caribbean,St. Vincent and the Grenadines,Blend,non-FCS,Blend non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,DPF,2020.0,2023.0,ICRR,Satisfactory,,,Highly Satisfactory,,2025
Vanuatu Disaster Risk Management Development Policy Grant with a Catastrophe-Deferred Drawdown Option (CAT-DDO),East Asia and Pacific,Vanuatu,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,DPF,2020.0,2023.0,ICRR,Moderately Satisfactory,,,Moderately Satisfactory,,2025
CAR Emergency Electricity Supply and Access Project,Western and Central Africa,Central African Republic,IDA,FCS,IDA FCS,Infrastructure,Energy & Extractives,IDA,IPF,2019.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2025
China: GEF Efficient and Green Freight Transport Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,GEF,IPF,2019.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Cote d'Ivoire Higher Education Development Support Project,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,Human Development,Education,IDA,IPF,2019.0,2024.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Unsatisfactory,Modest,2025
DRC- SME Development and Growth Project,Eastern and Southern Africa,"Congo, Democratic Republic of",IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019.0,2024.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Substantial,2025
Integrated Development and Competitiveness Project,Eastern and Southern Africa,Comoros,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019.0,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2025
Cabo Verde Education and Skills Development Enhancement Project,Western and Central Africa,Cabo Verde,Blend,non-FCS,Blend non-FCS,Human Development,Education,IDA,IPF,2019.0,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Integrated Cash Transfer and Human Capital Project,"Middle East, North Africa, Afghanistan, and Pakist",Djibouti,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,IPF,2019.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Towards Zero Stunting and Responding to COVID-19 and Other Emergencies,"Middle East, North Africa, Afghanistan, and Pakist",Djibouti,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2019.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025
Ethiopia Growth and Competitiveness,Eastern and Southern Africa,Ethiopia,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2019.0,2020.0,ICRR,Moderately Unsatisfactory,,,Moderately Satisfactory,,2025
Ethiopia Resilient Landscapes and Livelihoods Project,Eastern and Southern Africa,Ethiopia,IDA,FCS,IDA FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2019.0,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Ghana Energy Sector Transformation Initiative Project,Western and Central Africa,Ghana,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2019.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2025
Rural Mobility and Connectivity Project,Western and Central Africa,Guinea,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2019.0,2024.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Modest,2025
The Gambia Social Safety Net Project,Western and Central Africa,"Gambia, The",IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,IPF,2019.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Uttar Pradesh Core Road Network Development Project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2019.0,2024.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Negligible,2025
Tamil Nadu Health System Reform Program,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IBRD,PforR,2019.0,2024.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,High,2025
Jordan Second Equitable Growth & Job Creation Programmatic Development Policy Financing,"Middle East, North Africa, Afghanistan, and Pakist",Jordan,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2019.0,2022.0,ICRR,Moderately Unsatisfactory,,,Moderately Unsatisfactory,,2025
Madagascar Integrated Growth Poles and Corridor SOP-2,Eastern and Southern Africa,Madagascar,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Mali - Accelerating Progress Towards Universal Health Coverage,Western and Central Africa,Mali,IDA,FCS,IDA FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2019.0,2024.0,ICRR,Highly Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Substantial,2025
Mozambique Disaster Risk Management and Resilience Program,Eastern and Southern Africa,Mozambique,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,PforR,2019.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
Mozambique: Financial Inclusion and Stability Project,Eastern and Southern Africa,Mozambique,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019.0,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Mozambique Land Administration Project (Terra Segura),Eastern and Southern Africa,Mozambique,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2019.0,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Mozambique Energy For All (ProEnergia),Eastern and Southern Africa,Mozambique,IDA,FCS,IDA FCS,Infrastructure,Energy & Extractives,IDA,IPF,2019.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
Second Bridges Improvement and Maintenance Program,South Asia,Nepal,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,PforR,2019.0,2025.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025
Peru Integrated Health Networks,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IBRD,IPF,2019.0,2024.0,ICRR,Unsatisfactory,Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Negligible,2025
Sustainable Agricultural Intensification and Food Security Project,Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,Sustainable Development,Agriculture and Food,RETF,IPF,2019.0,2025.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Sierra Leone Agro-Processing Competitiveness Project,Western and Central Africa,Sierra Leone,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2025
Sierra Leone Skills Development Project,Western and Central Africa,Sierra Leone,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,2019.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
Somali Electricity Access Project,Eastern and Southern Africa,Somalia,IDA,FCS,IDA FCS,Infrastructure,Energy & Extractives,RETF,IPF,2019.0,2023.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Emergency Income Support and Training Project,Latin America and Caribbean,St Maarten,Other,non-FCS,Other,Human Development,Social Protection & Jobs,RETF,IPF,2019.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025
Togo - Infrastructure and Urban Development Project,Western and Central Africa,Togo,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2019.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
First Fiscal Reform and Resilience Development Policy Credit,Latin America and Caribbean,St. Vincent and the Grenadines,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2019.0,2020.0,ICRR,Satisfactory,,,Highly Satisfactory,,2025
Vietnam HCFC Phaseout Project Stage II,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",MONT,IPF,2019.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
Kosovo Financial Sector Strengthening Project,Europe and Central Asia,Kosovo,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
