project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy,CountryCode,GDP_USD,GDP_per_capita_USD,GDP_growth_pct,Inflation_CPI_pct,Unemployment_pct,Govt_debt_pct_GDP,Current_account_pct_GDP,Population_total
Indonesia Human Capital Development Policy Loan,East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2022,2023.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,IDN,1319101183380.15,4730.83484836107,5.30719722664799,4.20946463714783,3.462,,1.00182875104005,278830529.0
Catalyzing Private Financing for Sustainable Recovery and Growth,South Asia,India,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2022,2023.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,IND,3346107287730.93,2347.44829434623,7.60936497768895,6.69903414079849,4.822,,-2.36247481487452,1425423212.0
A Private-Sector Led and More Sustainable Economic Recovery DPF,Europe and Central Asia,Kazakhstan,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022,2024.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,KAZ,225496328925.494,11255.3396437881,3.19999999970734,15.0278644440851,4.86,21.3547830101811,2.85432700775768,20034609.0
URBN TRNSPRT I,Latin America and Caribbean,Mexico,IBRD,non-FCS,Other,Infrastructure,Transport,IBRD,IPF,1987,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2000,,,,,,,,,
Accelerating Reforms for an Inclusive and Resilient Recovery DPF 2,Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022,2023.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,KEN,114448978152.637,2109.56288513137,4.85998104287999,7.65986268272222,5.707,,-4.19995258299621,54252461.0
Support for Social Recovery Needs of Vulnerable Groups in Beirut,"Middle East, North Africa, Afghanistan, and Pakist",Lebanon,IBRD,FCS,IBRD FCS,Sustainable Development,Social Sustainability and Inclusion,RETF,IPF,2022,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,LBN,20992421948.8081,3654.35845534878,-0.621678970663112,171.205491336641,11.6,,-34.606227109401,5744489.0
Lebanon: Wheat supply emergency response project,"Middle East, North Africa, Afghanistan, and Pakist",Lebanon,IBRD,FCS,IBRD FCS,Sustainable Development,Agriculture and Food,IBRD,IPF,2022,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,LBN,20992421948.8081,3654.35845534878,-0.621678970663112,171.205491336641,11.6,,-34.606227109401,5744489.0
"Mauritania 2nd Second Private Sector, Digital, and Human Capital Reform DPF",Western and Central Africa,Mauritania,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022,2023.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,MRT,9557966698.25369,1960.35240077424,6.79600510182286,9.52526628622842,10.531,,-14.8995650002897,4875637.0
Niger Building Institutions and Human Capital DPO,Western and Central Africa,Niger,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022,2023.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,NER,15433852714.4935,609.745147661683,11.9000000000277,4.22621791916397,0.418,,-16.1987356704265,25311973.0
"Supporting Transparency, Inclusiveness and the Green Economy","Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",SPF,DPF,2022,2024.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,PSE,19165500000.0,3799.95527015163,4.08276027347105,3.74122391852073,24.42,,-10.6265229873781,5043612.0
Second Programmatic Human Capital for Inclusive Growth DPF,Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,DPF,2022,2022.0,ICRR,Highly Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,RWA,13316161005.7244,975.469323979541,8.16120720872912,17.6892095588153,15.084,,-9.36031316514928,13651030.0
Togo Second Fiscal Management and Infrastructure Reform DPF,Western and Central Africa,Togo,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022,2023.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,TGO,8169476148.95692,898.758154410712,5.75954251521733,7.96757361617943,1.965,,,9089738.0
Accelerating Uzbekistan's Transition Development Policy Operation,Europe and Central Asia,Uzbekistan,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022,2023.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,UZB,90095926567.4359,2578.66689394219,6.00134232203442,11.4466436998836,4.49,,-3.15905928026032,34938955.0
Samoa Second Recovery and Resilience Development Policy Operation,East Asia and Pacific,Samoa,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022,2024.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,WSM,832945205.637185,3869.46639492144,-5.30629089966979,10.9618822286844,5.048,,-8.88885241906696,215261.0
Kosovo Public Finances and Sustainable Growth Development Policy Financing,Europe and Central Asia,Kosovo,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2022,2024.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,XKX,9354903061.8898,5290.94747224687,4.27849895827543,11.5805104542013,,,-10.5108858226077,1768096.0
South Africa Covid-19 Response Development Policy Operation,Eastern and Southern Africa,South Africa,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2022,2023.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,ZAF,406920004594.074,6523.41097815853,1.91147996033504,7.03987272546481,33.268,76.2372383337531,-0.296674662487372,62378410.0
Zambia Emergency Health Service Delivery Project,Eastern and Southern Africa,Zambia,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2022,2024.0,ICRR,Highly Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,Substantial,2025,ZMB,29163782140.4858,1447.12310138035,5.21122360356247,10.9932039209136,5.995,,3.74784661580663,20152938.0
Second Central America and Caribbean Catastrophe Risk Insurance Project,Latin America and Caribbean,Latin America and Caribbean,Other,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",RETF,IPF,2021,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,,,,,,,,,
Second Angola Growth and Inclusion Development Policy Financing Operation,Eastern and Southern Africa,Angola,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2021,2022.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Unsatisfactory,Not Evaluated,2025,AGO,66505129987.7235,1925.87466082167,1.19921052145153,25.7542948841891,15.799,,12.6297800641592,34532429.0
Dominica First COVID-19 Response and Recovery Programmatic DPC,Latin America and Caribbean,Dominica,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021,2022.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,DMA,562911111.111111,8376.40414141113,5.37983838954712,2.22891330700348,,,-33.0604505678155,67202.0
Second Accelerating India's COVID-19 Social Protection Response (PMGKY),South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IDA,DPF,2021,2023.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,IND,3167270623260.47,2239.61384367482,9.68959249192875,5.13140747176368,6.38,,-1.05524166809383,1414203896.0
Creating a Coordinated and Responsive Indian Social Protection System (CCRISP),South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2021,2023.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,IND,3167270623260.47,2239.61384367482,9.68959249192875,5.13140747176368,6.38,,-1.05524166809383,1414203896.0
Jamaica Catastrophe Bond for increased Financial Resilience to Natural Disasters and Climate Shocks,Latin America and Caribbean,Jamaica,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",RETF,IPF,2021,2024.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,High,2025,JAM,14657586159.4316,5165.33782130331,4.60142450033383,5.86278242801063,5.188,,1.01832689105355,2837682.0
Accelerating Reforms for an Inclusive and Resilient Recovery DPF,Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021,2022.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,KEN,109703658904.994,2061.35622089594,7.59048947333467,6.10793603659178,5.693,,-4.59900811539261,53219166.0
Liberia Learning Foundations Project,Western and Central Africa,Liberia,IDA,non-FCS,IDA non-FCS,Human Development,Education,RETF,IPF,2021,2024.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2025,LBR,3513049500.0,667.96610514319,4.98671283481617,7.8155938585865,3.845,,-2.89623383635124,5259323.0
Securing Human Investments to Foster Transformation II,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Blend non-FCS,Human Development,Education,IDA,DPF,2021,2022.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,PAK,348516647445.148,1455.31922370186,6.51388575852702,9.49621056124947,6.338,,-3.52439577565177,239477801.0
Investing in Human Capital DPF II,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,DPF,2021,2023.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,PER,226328766459.634,6826.20255614477,13.3626240903125,4.27166381536798,5.097,35.2492265648321,-2.24912985995393,33155882.0
First Programmatic Human Capital for Inclusive Growth DPF,Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,DPF,2021,2023.0,ICRR,Highly Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,RWA,11078787095.1791,829.544845639777,10.8584320184896,-0.391346748300811,15.775,,-10.9146538803929,13355260.0
Sudan Family Support Project,Eastern and Southern Africa,Sudan,IDA,FCS,IDA FCS,Human Development,Social Protection & Jobs,IDA,IPF,2021,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,SDN,34229513774.9936,712.122009277344,-1.8685204827207,359.093040779,11.044,,-7.65468962500371,48066924.0
South Sudan Enhancing Community Resilience and Local Governance Project,Eastern and Southern Africa,South Sudan,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2021,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,SSD,,,,10.5167158294359,14.029,,-0.13161314202058,10865780.0
HIGHWAYS IV,South Asia,Pakistan,Blend,non-FCS,Other,Other,Other,IBRD,IPF,1987,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2000,,,,,,,,,
"Samoa First Response, Recovery and Resilience Development Policy Operation with a Catastrophe Deferred Drawdown Option",East Asia and Pacific,Samoa,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021,2024.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,WSM,843923638.733018,3947.64517905415,-7.07883094291508,3.13320473174495,6.612,,-13.5611890300086,213779.0
Angola Growth and Inclusion DPF,Eastern and Southern Africa,Angola,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2020,2021.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Unsatisfactory,Not Evaluated,2025,AGO,48501561203.5686,1449.92286669308,-5.63821471714934,22.271539247051,16.69,,1.797710856441,33451132.0
Benin Global Partnership for Education Project Phase 3,Western and Central Africa,Benin,IDA,non-FCS,IDA non-FCS,Human Development,Education,RETF,IPF,2020,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,BEN,15686741893.5187,1200.19426631122,3.84879240030133,3.02272119663757,1.502,,-1.7464857569097,13070169.0
Bhutan Development Policy Financing with Cat DDO,South Asia,Bhutan,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,DPF,2020,2023.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,BTN,2457604333.90927,3191.66906999331,-10.2183974208569,5.62936522632511,5.03,111.007884099526,-15.5091108691023,770006.0
CDI Sustainable and Inclusive Growth DPF1,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020,2023.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,CIV,63027852805.4204,2179.72934832935,0.699728593494228,2.42500656821817,2.584,,-3.13243536755176,28915449.0
Second Ethiopia Growth and Competitiveness Programmatic Development Policy Financing,Eastern and Southern Africa,Ethiopia,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020,2021.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,ETH,107657732424.155,905.313159254148,6.05953089054807,20.3563468559061,3.994,,-2.5254143189047,118917671.0
COVID-19 Supplemental Financing to the Second Ethiopia Growth and Competitiveness Programmatic Development Policy Financing,Eastern and Southern Africa,Ethiopia,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020,2021.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,ETH,107657732424.155,905.313159254148,6.05953089054807,20.3563468559061,3.994,,-2.5254143189047,118917671.0
"Gambia First Fiscal Management, Energy and Telecom Reform Development Policy Financing",Western and Central Africa,"Gambia, The",IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020,2021.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,GMB,1812170891.19069,720.335143352133,0.591487287873974,5.93127636562442,5.892,,-4.77621848558059,2515733.0
GAMBIA FISCAL MANAGEMENT DEVELOPMENT PROJECT,Western and Central Africa,"Gambia, The",IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2020,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025,GMB,1812170891.19069,720.335143352133,0.591487287873974,5.93127636562442,5.892,,-4.77621848558059,2515733.0
Honduras DRM Development Policy Credit with a Catastrophe Deferred Drawdown Option (Cat DDO),Latin America and Caribbean,Honduras,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,DPF,2020,2023.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,HND,23352232483.755,2307.61494319511,-8.96508223267296,3.46841177951179,10.982,,2.85135257343249,10119640.0
Accelerating India's COVID-19 Social Protection Response Program (PMGKY),South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2020,2022.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,IND,2674851578587.27,1907.04251637669,-5.77772470686801,6.62343677628536,7.859,,1.22362111042791,1402617695.0
Health and Nutrition Services Access Project,East Asia and Pacific,Lao People's Democratic Republic,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2020,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,,,,,,,,,
Morocco Disaster Risk Management Development Policy Loan with a Catastrophe Deferred Drawdown Option,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,DPF,2020,2023.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,MAR,121353645057.144,3268.0302734375,-7.17820744246774,0.705968661338224,11.223,,-1.1275993199651,36584208.0
Madagascar Disaster Risk Management Development Policy Financing with a Catastrophe Deferred Drawdown Option (Cat DDO),Eastern and Southern Africa,Madagascar,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,DPF,2020,2024.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,MDG,13051441203.9474,450.771615201509,-7.13767162064489,4.20179312190558,3.284,,-4.7784229274215,28953556.0
COVID-19 Emergency Income Support Project,South Asia,Maldives,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,IPF,2020,2024.0,ICRR,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Substantial,2025,MDV,3712604583.36665,7393.8886543933,-32.9088287284425,-1.36977425569811,5.434,,-35.7483018974442,502118.0
Mauritania First Competition and Skills DPO,Western and Central Africa,Mauritania,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020,2021.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,MRT,8260752385.23089,1795.76459566714,-0.360657384151068,2.38569488456317,11.054,,-6.97484998771505,4600131.0
Securing Human Investments to Foster Transformation (SHIFT) DPC Series,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Blend non-FCS,Human Development,Education,IDA,DPF,2020,2021.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,PAK,300425609817.981,1278.39735206896,-1.27408744338709,9.73999313898157,6.127,,-0.216650637871501,235001746.0
Pakistan Community Support Project (CASA-1000),"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Blend non-FCS,Sustainable Development,Social Sustainability and Inclusion,RETF,IPF,2020,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025,PAK,300425609817.981,1278.39735206896,-1.27408744338709,9.73999313898157,6.127,,-0.216650637871501,235001746.0
Investing in Human Capital,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,DPF,2020,2021.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,PER,201409694755.934,6133.32552410183,-10.9333065010382,2.00241205759293,7.179,34.7649150438361,0.781293621318148,32838579.0
Lima Metropolitano BRT North Extension,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2020,2024.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2025,PER,201409694755.934,6133.32552410183,-10.9333065010382,2.00241205759293,7.179,34.7649150438361,0.781293621318148,32838579.0
Togo First Fiscal Management and Energy Reform DPF,Western and Central Africa,Togo,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2020,2021.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2025,TGO,7400284167.78479,853.578220263722,1.99215501870344,1.69928463299407,2.225,,-0.280228713572482,8669720.0
Second Fiscal Reform and Resilience Development Policy Credit with a Cat DDO,Latin America and Caribbean,St. Vincent and the Grenadines,Blend,non-FCS,Blend non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,DPF,2020,2023.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,VCT,864566666.666667,8351.20324040982,-4.26892434422649,-0.62813130935467,20.636,,-15.8942170558576,103526.0
Vanuatu Disaster Risk Management Development Policy Grant with a Catastrophe-Deferred Drawdown Option (CAT-DDO),East Asia and Pacific,Vanuatu,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,DPF,2020,2023.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,VUT,909421043.508407,3042.98711598286,-4.99249142889525,5.32935073101714,4.046,,-6.36202228392834,298858.0
CAR Emergency Electricity Supply and Access Project,Western and Central Africa,Central African Republic,IDA,FCS,IDA FCS,Infrastructure,Energy & Extractives,IDA,IPF,2019,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2025,CAF,2221301351.43918,449.228467602439,3.09999999999999,2.68537355266785,5.607,,,4944703.0
China: GEF Efficient and Green Freight Transport Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,GEF,IPF,2019,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,CHN,14560167101283.4,10342.9009524335,6.06850235053705,2.89923416358229,4.56,,0.706790487310523,1407745000.0
